conversation_id,customer_id,timestamp,channel,agent_id,duration_minutes,transcript,resolved_flag
CONV00034,CUST0013,2026-07-06 06:19:00,email,AGT005,17.5,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",0
CONV00035,CUST0013,2026-08-05 09:54:00,email,AGT006,41.3,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00036,CUST0013,2026-07-15 10:58:00,chat,AGT012,8.3,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00037,CUST0013,2026-08-09 05:23:00,email,AGT005,8.6,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00038,CUST0014,2026-08-09 11:24:00,email,AGT009,30.1,"Customer: Password reset link isnt arriving.
Agent: I've triggered a new one, please check spam.
Customer: got it thanks",1
CONV00039,CUST0015,2026-06-22 15:12:00,phone_transcript,AGT011,33.8,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",0
CONV00040,CUST0015,2026-07-19 00:10:00,chat,AGT003,33.0,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",0
CONV00041,CUST0015,2026-07-25 06:19:00,phone_transcript,AGT001,38.1,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",1
CONV00042,CUST0015,2026-08-07 02:57:00,email,AGT003,38.2,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",1
CONV00043,CUST0016,2026-08-11 01:51:00,chat,AGT009,21.6,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",1
CONV00044,CUST0016,2026-08-02 03:18:00,phone_transcript,AGT008,2.7,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",0
CONV00045,CUST0016,2026-08-04 11:00:00,phone_transcript,AGT012,13.8,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",0
CONV00046,CUST0016,2026-07-31 23:28:00,chat,AGT002,41.5,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",0
CONV00047,CUST0016,2026-08-09 16:48:00,email,AGT005,36.2,"Customer: please send me the offboarding process and data export options
Agent: Before that, can we discuss what went wrong?
Customer: Its too late for that. We've signed with another vendor.",1
CONV00048,CUST0016,2026-06-03 11:31:00,phone_transcript,AGT004,14.9,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00049,CUST0016,2026-07-22 21:19:00,chat,AGT007,18.3,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",0
CONV00050,CUST0017,2026-06-29 22:20:00,phone_transcript,AGT003,5.6,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00051,CUST0017,2026-08-03 03:10:00,phone_transcript,AGT002,40.5,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",0
CONV00052,CUST0018,2026-07-20 16:47:00,phone_transcript,AGT008,13.7,"Customer: Why did my invoice go up 22% with no notice?
Agent: There was a plan price revision effective this quarter.
Customer: Nobody told us. I need to review whether this still makes sense for us.",0
CONV00053,CUST0018,2026-07-24 02:01:00,phone_transcript,AGT010,30.3,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",1
CONV00054,CUST0018,2026-06-10 13:59:00,phone_transcript,AGT003,34.3,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",0
CONV00055,CUST0019,2026-07-21 11:01:00,email,AGT003,26.3,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00056,CUST0019,2026-07-22 11:17:00,email,AGT007,34.5,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00057,CUST0020,2026-07-25 01:14:00,phone_transcript,AGT012,43.9,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00058,CUST0021,2026-08-08 10:46:00,email,AGT010,35.1,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",0
CONV00059,CUST0021,2026-06-30 11:11:00,chat,AGT011,13.8,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",0
CONV00060,CUST0022,2026-07-14 08:46:00,phone_transcript,AGT007,20.6,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",1
CONV00061,CUST0022,2026-07-23 02:36:00,phone_transcript,AGT005,36.3,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00062,CUST0023,2026-07-02 21:43:00,email,AGT012,35.7,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",1
CONV00063,CUST0024,2026-08-06 11:40:00,chat,AGT002,2.2,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",1
CONV00064,CUST0024,2026-06-30 12:12:00,chat,AGT003,5.8,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",1
CONV00065,CUST0024,2026-08-02 06:25:00,email,AGT002,3.1,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00066,CUST0024,2026-08-11 21:22:00,email,AGT007,2.5,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00067,CUST0024,2026-08-07 21:14:00,chat,AGT010,24.4,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00068,CUST0024,2026-08-05 18:52:00,email,AGT005,23.2,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",1
CONV00069,CUST0025,2026-05-14 10:43:00,email,AGT008,35.7,"Customer: We signed up last month but honestly we havent used it much yet.
Agent: Would an onboarding session help?
Customer: Maybe. My team hasnt had time to learn it.",1
CONV00070,CUST0025,2026-07-17 16:14:00,email,AGT010,28.5,"Customer: how do i import my existing data
Agent: Settings > Import > choose CSV.
Customer: tried that, got an error. ill try again later",0
CONV00071,CUST0026,2026-07-21 19:41:00,email,AGT006,38.2,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",1
CONV00072,CUST0026,2026-07-26 13:32:00,email,AGT011,43.9,"Customer: please send me the offboarding process and data export options
Agent: Before that, can we discuss what went wrong?
Customer: Its too late for that. We've signed with another vendor.",1
CONV00073,CUST0026,2026-08-02 13:22:00,email,AGT006,9.6,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",1
CONV00074,CUST0027,2026-07-26 13:42:00,phone_transcript,AGT011,23.1,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00075,CUST0027,2026-07-19 16:40:00,email,AGT007,17.7,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",0
CONV00076,CUST0028,2026-06-28 17:23:00,chat,AGT011,35.0,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
CONV00077,CUST0028,2026-08-02 00:31:00,chat,AGT008,36.3,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00078,CUST0028,2026-05-27 21:08:00,phone_transcript,AGT008,8.0,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",1
CONV00079,CUST0028,2026-06-29 15:18:00,phone_transcript,AGT007,35.9,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00080,CUST0030,2026-08-08 04:30:00,email,AGT009,23.8,"Customer: how do i import my existing data
Agent: Settings > Import > choose CSV.
Customer: tried that, got an error. ill try again later",0
CONV00081,CUST0032,2026-07-25 01:34:00,chat,AGT006,32.2,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",0
CONV00082,CUST0032,2026-08-05 04:20:00,chat,AGT004,30.3,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00083,CUST0032,2026-08-09 03:21:00,phone_transcript,AGT011,31.1,"Customer: This is really frustrating, the export keeps timing out again!
Agent: I'm sorry about that, let me check the logs.
Customer: Every single week something breaks. Please just fix it properly.
Agent: Escalating to engineering now, I'll update you today.
Customer: Fine. I do like the product, it just needs to be reliable.",1
CONV00084,CUST0032,2026-07-05 13:10:00,chat,AGT001,6.2,"Customer: Why is the report layout changed AGAIN without warning??
Agent: We shipped an update on Tuesday, I can share the release notes.
Customer: You guys need better comms. Anyway send them over.",1
CONV00085,CUST0034,2026-07-25 00:27:00,phone_transcript,AGT012,26.7,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00086,CUST0034,2026-07-28 11:31:00,phone_transcript,AGT012,23.5,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00087,CUST0035,2026-06-25 23:30:00,email,AGT007,41.6,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",1
CONV00088,CUST0035,2026-08-11 00:51:00,email,AGT006,21.6,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",1
CONV00089,CUST0035,2026-08-11 08:38:00,chat,AGT008,33.0,"Customer: My card payment failed but I have funds. Now my account is limited.
Agent: Let me re-run the payment for you.
Customer: Third time I'm calling about this billing mess.",0
CONV00090,CUST0035,2026-07-19 21:41:00,phone_transcript,AGT002,3.0,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",1
CONV00091,CUST0035,2026-07-31 20:17:00,phone_transcript,AGT004,24.2,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",0
CONV00092,CUST0036,2026-08-10 13:25:00,email,AGT004,36.3,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",1
CONV00093,CUST0036,2026-07-05 18:20:00,email,AGT007,3.3,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00094,CUST0037,2026-08-06 17:32:00,email,AGT007,2.2,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00095,CUST0038,2026-05-14 15:12:00,chat,AGT010,6.4,"Customer: how do i import my existing data
Agent: Settings > Import > choose CSV.
Customer: tried that, got an error. ill try again later",0
CONV00096,CUST0038,2026-08-10 18:37:00,chat,AGT008,6.9,"Customer: We signed up last month but honestly we havent used it much yet.
Agent: Would an onboarding session help?
Customer: Maybe. My team hasnt had time to learn it.",0
CONV00097,CUST0039,2026-05-14 08:27:00,email,AGT010,18.7,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00098,CUST0039,2026-08-05 20:38:00,email,AGT010,9.4,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",1
CONV00099,CUST0040,2026-08-10 14:02:00,phone_transcript,AGT003,15.5,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",1
CONV00100,CUST0040,2026-07-04 20:49:00,phone_transcript,AGT003,24.0,"Customer: please send me the offboarding process and data export options
Agent: Before that, can we discuss what went wrong?
Customer: Its too late for that. We've signed with another vendor.",1
CONV00101,CUST0040,2026-08-04 19:24:00,email,AGT003,22.9,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",0
CONV00102,CUST0040,2026-08-07 03:01:00,phone_transcript,AGT003,23.1,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",1
CONV00103,CUST0040,2026-07-13 13:07:00,phone_transcript,AGT001,39.2,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",0
CONV00104,CUST0041,2026-07-25 08:52:00,email,AGT009,23.7,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00105,CUST0041,2026-05-14 02:29:00,phone_transcript,AGT008,23.0,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",1
CONV00106,CUST0041,2026-06-30 23:10:00,email,AGT001,13.8,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00107,CUST0042,2026-08-05 18:11:00,phone_transcript,AGT012,35.2,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",1
CONV00108,CUST0042,2026-08-07 07:53:00,chat,AGT005,35.3,"Customer: Can you confirm our renewal date?
Agent: Your contract renews on the 14th of next month.
Customer: Perfect, no changes needed from our side.",1
CONV00109,CUST0043,2026-07-29 12:26:00,phone_transcript,AGT008,25.5,"Customer: Hi, quick question - how do I add a second admin user?
Agent: Happy to help! Go to Settings > Team > Invite.
Customer: Found it, thanks. Works great as always.",0
CONV00110,CUST0044,2026-07-03 20:13:00,chat,AGT005,39.6,"Customer: Why did my invoice go up 22% with no notice?
Agent: There was a plan price revision effective this quarter.
Customer: Nobody told us. I need to review whether this still makes sense for us.",1
CONV00111,CUST0044,2026-07-30 15:38:00,email,AGT002,35.4,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",1
CONV00112,CUST0044,2026-07-16 00:23:00,email,AGT012,28.2,"Customer: Why did my invoice go up 22% with no notice?
Agent: There was a plan price revision effective this quarter.
Customer: Nobody told us. I need to review whether this still makes sense for us.",1
CONV00113,CUST0044,2026-08-01 04:52:00,chat,AGT001,26.5,"Customer: I've been charged twice this month. This is the second time!
Agent: I apologise, I can see a duplicate charge on the 3rd.
Customer: I want it refunded today, not in 7 working days.
Agent: I'll request an expedited refund.
Customer: If this happens again I'm escalating to my finance director.",0
CONV00114,CUST0045,2026-07-29 04:26:00,email,AGT012,14.6,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00115,CUST0045,2026-06-29 07:03:00,chat,AGT007,41.5,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",0
CONV00116,CUST0045,2026-07-09 03:52:00,chat,AGT003,32.6,"Customer: I need to speak to a manager. This is the third time raising the same issue.
Agent: I understand your frustration, let me escalate.
Customer: We're already trialling an alternative platform. Honestly we're just waiting for our contract to end.",0
CONV00117,CUST0045,2026-07-06 02:35:00,chat,AGT010,29.2,"Customer: Still no fix. I'm done chasing this.
Agent: I'm escalating to our senior team now.
Customer: Save it. I'm taking this to our legal team if the refund isnt processed.",0
CONV00118,CUST0045,2026-08-11 11:32:00,phone_transcript,AGT002,19.3,"Customer: We've decided to cancel our subscription at the end of the term.
Agent: I'm sorry to hear that, may I ask what's driving the decision?
Customer: Four tickets in two months, none properly resolved. We're moving to a competitor next quarter.
Agent: Can I arrange a call with your account manager?
Customer: You can, but I doubt it changes anything at this point.",0
CONV00119,CUST0046,2026-08-08 01:01:00,email,AGT008,16.1,"Customer: Just wanted to say the new dashboard update is really good.
Agent: Thank you, I'll pass that to the product team!
Customer: Cheers.",1
CONV00120,CUST0047,2026-08-11 00:55:00,email,AGT011,30.6,"Customer: The mobile app is so slow it's unusable today.
Agent: There was a degradation this morning, now resolved.
Customer: Ok its working now. Still annoying.",1
